iter,acc,f1-score,auc,recall,cm,params
66,0.8416548511241645,0.476652719665272,0.6667491575342985,0.388646288209607,"[[15197   887]
 [ 2240  1424]]","{'max_depth': 41, 'learning_rate': 0.2013470982277929, 'n_estimators': 1500}"
67,0.8400344338667207,0.47551054291881123,0.6665973888178766,0.39082969432314413,"[[15157   927]
 [ 2232  1432]]","{'max_depth': 42, 'learning_rate': 0.183259548009904, 'n_estimators': 1800}"
68,0.8390216730808183,0.4709602263271759,0.6641842594392541,0.38618995633187775,"[[15154   930]
 [ 2249  1415]]","{'max_depth': 50, 'learning_rate': 0.23503216306682814, 'n_estimators': 1450}"
69,0.8409459185740328,0.4730749874182184,0.6648386771849537,0.384825327510917,"[[15197   887]
 [ 2254  1410]]","{'max_depth': 44, 'learning_rate': 0.2048650733587356, 'n_estimators': 1500}"
70,0.8430220781851326,0.46643717728055084,0.6603175509253276,0.36981441048034935,"[[15293   791]
 [ 2309  1355]]","{'max_depth': 40, 'learning_rate': 0.1375483025593032, 'n_estimators': 1300}"
71,0.84190804132064,0.4751176866173504,0.6657454545405181,0.3856441048034934,"[[15213   871]
 [ 2251  1413]]","{'max_depth': 37, 'learning_rate': 0.14917505237419698, 'n_estimators': 1900}"
72,0.8378063601377355,0.4667887464624604,0.6620682872343775,0.3826419213973799,"[[15143   941]
 [ 2262  1402]]","{'max_depth': 42, 'learning_rate': 0.22101615901666985, 'n_estimators': 1700}"
73,0.8430727162244278,0.47801920161697825,0.6670927073367007,0.3872816593886463,"[[15230   854]
 [ 2245  1419]]","{'max_depth': 47, 'learning_rate': 0.15975053195354588, 'n_estimators': 1600}"
74,0.8439335628924448,0.4754935330156569,0.6653029089094481,0.38127729257641924,"[[15269   815]
 [ 2267  1397]]","{'max_depth': 46, 'learning_rate': 0.1087088781633253, 'n_estimators': 2000}"
75,0.8416548511241645,0.4711652291560967,0.6634824988135434,0.38018558951965065,"[[15228   856]
 [ 2271  1393]]","{'max_depth': 48, 'learning_rate': 0.15486330378045296, 'n_estimators': 1600}"
76,0.8422625075957059,0.472123368920522,0.6638555403455005,0.38018558951965065,"[[15240   844]
 [ 2271  1393]]","{'max_depth': 50, 'learning_rate': 0.16239699755588108, 'n_estimators': 1300}"
77,0.844895685639052,0.4773929363589831,0.6661043101772464,0.3818231441048035,"[[15286   798]
 [ 2265  1399]]","{'max_depth': 44, 'learning_rate': 0.13046882735300933, 'n_estimators': 1150}"
78,0.8420599554385254,0.47323087316331697,0.6645742018703118,0.38236899563318777,"[[15228   856]
 [ 2263  1401]]","{'max_depth': 32, 'learning_rate': 0.17679211853267712, 'n_estimators': 1400}"
79,0.8415535750455743,0.4745591939546599,0.6655278469802098,0.3856441048034934,"[[15206   878]
 [ 2251  1413]]","{'max_depth': 35, 'learning_rate': 0.19314813215412316, 'n_estimators': 1550}"
80,0.8394774154344744,0.47149049683227745,0.6643586645004556,0.3859170305676856,"[[15164   920]
 [ 2250  1414]]","{'max_depth': 45, 'learning_rate': 0.21367724785064784, 'n_estimators': 1750}"
