iter,acc,f1-score,auc,recall,cm,params
16,0.9437102300538424,0.9709008097165992,0.540386846907605,0.9894275399690562,"[[  19  189]
 [  41 3837]]","{'max_depth': 49, 'learning_rate': 0.05902822048243893, 'n_estimators': 1750}"
17,0.9429760156632403,0.9704577152275897,0.5559244455905106,0.9868488911810211,"[[  26  182]
 [  51 3827]]","{'max_depth': 41, 'learning_rate': 0.2060787434112076, 'n_estimators': 1750}"
18,0.9449339207048458,0.9716446124763705,0.5114576308168366,0.9940691077875193,"[[   6  202]
 [  23 3855]]","{'max_depth': 4, 'learning_rate': 0.09416399038559989, 'n_estimators': 700}"
19,0.9456681350954479,0.9720050441361917,0.5209440829928195,0.9938112429087158,"[[  10  198]
 [  24 3854]]","{'max_depth': 42, 'learning_rate': 0.04073845502232924, 'n_estimators': 550}"
20,0.9427312775330396,0.9703271620593455,0.5557955131511088,0.9865910263022176,"[[  26  182]
 [  52 3826]]","{'max_depth': 35, 'learning_rate': 0.24423997545734005, 'n_estimators': 900}"
21,0.9427312775330396,0.9703346855983772,0.5535205994366644,0.9868488911810211,"[[  25  183]
 [  51 3827]]","{'max_depth': 15, 'learning_rate': 0.24317648329630664, 'n_estimators': 1200}"
22,0.9427312775330396,0.9703271620593455,0.5557955131511088,0.9865910263022176,"[[  26  182]
 [  52 3826]]","{'max_depth': 35, 'learning_rate': 0.2443406489168825, 'n_estimators': 2000}"
23,0.9419970631424376,0.9699581696032451,0.5485839746895703,0.9865910263022176,"[[  23  185]
 [  52 3826]]","{'max_depth': 46, 'learning_rate': 0.1997440484540963, 'n_estimators': 1950}"
24,0.9427312775330396,0.9703497212366954,0.5489707720077757,0.9873646209386282,"[[  23  185]
 [  49 3829]]","{'max_depth': 18, 'learning_rate': 0.18388673797884497, 'n_estimators': 1200}"
25,0.9417523250122369,0.96981993406036,0.550729955964613,0.9860752965446106,"[[  24  184]
 [  54 3824]]","{'max_depth': 33, 'learning_rate': 0.2484133565354124, 'n_estimators': 1950}"
