iter,acc,f1-score,auc,recall,cm,params
34,0.7985823336968375,0.8071018276762402,0.7980207905863956,0.8138163437236732,"[[3459  963]
 [ 884 3864]]","{'max_depth': 28, 'learning_rate': 0.238, 'n_estimators': 1000}"
35,0.8158124318429661,0.8255345522156801,0.814861226531812,0.8416175231676495,"[[3485  937]
 [ 752 3996]]","{'max_depth': 38, 'learning_rate': 0.045, 'n_estimators': 600}"
36,0.8123227917121046,0.8214545077290175,0.8115302041527066,0.8338247683235046,"[[3490  932]
 [ 789 3959]]","{'max_depth': 42, 'learning_rate': 0.0677, 'n_estimators': 1000}"
37,0.8067611777535442,0.8156087408949011,0.8060741231424252,0.8254001684919966,"[[3479  943]
 [ 829 3919]]","{'max_depth': 32, 'learning_rate': 0.1772, 'n_estimators': 750}"
38,0.8157033805888768,0.825485336637753,0.8147403920125191,0.8418281381634373,"[[3483  939]
 [ 751 3997]]","{'max_depth': 43, 'learning_rate': 0.0222, 'n_estimators': 1300}"
39,0.8183206106870229,0.8275719312771682,0.8174463327080612,0.8420387531592249,"[[3506  916]
 [ 750 3998]]","{'max_depth': 50, 'learning_rate': 0.1106, 'n_estimators': 300}"
40,0.815267175572519,0.8248190279214064,0.8143579795744414,0.8399326032013479,"[[3488  934]
 [ 760 3988]]","{'max_depth': 49, 'learning_rate': 0.1115, 'n_estimators': 300}"
41,0.8116684841875682,0.820683210466203,0.8109061226760431,0.8323504633529908,"[[3491  931]
 [ 796 3952]]","{'max_depth': 39, 'learning_rate': 0.1442, 'n_estimators': 550}"
42,0.8127589967284624,0.8214619943849434,0.8120523597833761,0.8319292333614153,"[[3503  919]
 [ 798 3950]]","{'max_depth': 9, 'learning_rate': 0.1704, 'n_estimators': 350}"
43,0.8186477644492912,0.8283620600681185,0.8176690930733481,0.8451979780960405,"[[3494  928]
 [ 735 4013]]","{'max_depth': 36, 'learning_rate': 0.1262, 'n_estimators': 100}"
44,0.8163576881134132,0.8263917525773196,0.8153334194463845,0.8441449031171019,"[[3478  944]
 [ 740 4008]]","{'max_depth': 35, 'learning_rate': 0.125, 'n_estimators': 50}"
45,0.8130861504907306,0.8225672877846791,0.8122130120630668,0.8367733782645325,"[[3483  939]
 [ 775 3973]]","{'max_depth': 29, 'learning_rate': 0.2111, 'n_estimators': 150}"
46,0.8135223555070883,0.8230912476722533,0.8126264785439425,0.8378264532434709,"[[3482  940]
 [ 770 3978]]","{'max_depth': 47, 'learning_rate': 0.162, 'n_estimators': 250}"
47,0.8136314067611777,0.8230665700383062,0.8127628400846347,0.8371946082561078,"[[3486  936]
 [ 773 3975]]","{'max_depth': -1, 'learning_rate': 0.1057, 'n_estimators': 400}"
48,0.8159214830970556,0.8257638315441783,0.8149432434976072,0.8424599831508003,"[[3482  940]
 [ 748 4000]]","{'max_depth': 38, 'learning_rate': 0.1233, 'n_estimators': 100}"
49,0.8094874591057797,0.8183047321892876,0.808784445696767,0.8285593934288121,"[[3489  933]
 [ 814 3934]]","{'max_depth': 21, 'learning_rate': 0.1472, 'n_estimators': 650}"
50,0.8046892039258452,0.8135346173867777,0.8040189361075453,0.8228727885425442,"[[3472  950]
 [ 841 3907]]","{'max_depth': 27, 'learning_rate': 0.0875, 'n_estimators': 1900}"
51,0.7976008724100327,0.8064246975385899,0.7969876244876559,0.8142375737152485,"[[3448  974]
 [ 882 3866]]","{'max_depth': 33, 'learning_rate': 0.2303, 'n_estimators': 1600}"
52,0.8131952017448201,0.8221737776393646,0.8124270087107542,0.8340353833192923,"[[3497  925]
 [ 788 3960]]","{'max_depth': 36, 'learning_rate': 0.1355, 'n_estimators': 350}"
53,0.8157033805888768,0.8249430287963538,0.8148568446730124,0.8386689132266217,"[[3498  924]
 [ 766 3982]]","{'max_depth': 50, 'learning_rate': 0.1985, 'n_estimators': 150}"
